"record_id","name","ensembl","biomarker_type","biomarker_direction","biomaker_name"
"BiomarkerKG594659457","HLA-B","ENSG00000234745","polymorphism",NA,"HLA-B polymorphism NA"
"BiomarkerKG1498962895","ESR","ENSG00000091831","protein expression","positive","ESR protein expression positive"
"BiomarkerKG1498962895","ERBB2","ENSG00000141736","protein expression & amplification","negative","ERBB2 protein expression & amplification negative"
"BiomarkerKG-1064188334","EGFR","ENSG00000146648","mutation",NA,"EGFR mutation NA"
"BiomarkerKG-1932775397","ALK","ENSG00000171094","protein expression",NA,"ALK protein expression NA"
"BiomarkerKG-955586545","ESR","ENSG00000091831","protein expression","positive","ESR protein expression positive"
"BiomarkerKG-955586545","ERBB2","ENSG00000141736","protein expression & amplification","negative","ERBB2 protein expression & amplification negative"
"BiomarkerKG-955586545","PIK3CA","ENSG00000121879","mutation","positive","PIK3CA mutation positive"
"BiomarkerKG-1386474016","NAT2","ENSG00000156006","polymorphism",NA,"NAT2 polymorphism NA"
"BiomarkerKG-1029442076","NAT2","ENSG00000156006","polymorphism",NA,"NAT2 polymorphism NA"
"BiomarkerKG1233009142","CYP2D6","ENSG00000100197","polymorphism",NA,"CYP2D6 polymorphism NA"
"BiomarkerKG979588562","CYP2D6","ENSG00000100197","polymorphism",NA,"CYP2D6 polymorphism NA"
"BiomarkerKG2008815520","CYP2D7","ENSG00000205702","polymorphism",NA,"CYP2D7 polymorphism NA"
"BiomarkerKG445115987","UGT1A1","ENSG00000241635","polymorphism","positive","UGT1A1 polymorphism positive"
"BiomarkerKG445115987","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG-493957746","CYP2D6","ENSG00000100197","polymorphism",NA,"CYP2D6 polymorphism NA"
"BiomarkerKG1476585244","PML-RARA","ENSG00000133246","translocation",NA,"PML-RARA translocation NA"
"BiomarkerKG-1745727063","G6PD","ENSG00000160211","protein expression",NA,"G6PD protein expression NA"
"BiomarkerKG1850603683","CD274","ENSG00000120217","protein expression",NA,"CD274 protein expression NA"
"BiomarkerKG875467658","CD274","ENSG00000120217","protein expression","positive","CD274 protein expression positive"
"BiomarkerKG875467658","Gene Signature
(T-effector)","NA","others","positive","Gene Signature
(T-effector) others positive"
"BiomarkerKG1616970176","CD274","ENSG00000120217","protein expression","positive","CD274 protein expression positive"
"BiomarkerKG1616970176","EGFR","ENSG00000146648","mutation","negative","EGFR mutation negative"
"BiomarkerKG1616970176","ALK","ENSG00000171094","mutation","negative","ALK mutation negative"
"BiomarkerKG-292801829","CYP2D6","ENSG00000100197","polymorphism",NA,"CYP2D6 polymorphism NA"
"BiomarkerKG719702881","F2","ENSG00000180210","polymorphism","negative","F2 polymorphism negative"
"BiomarkerKG719702881","F5","ENSG00000198734","polymorphism","negative","F5 polymorphism negative"
"BiomarkerKG719702881","PROC","ENSG00000115718","polymorphism","negative","PROC polymorphism negative"
"BiomarkerKG719702881","PROS1","ENSG00000184500","polymorphism","negative","PROS1 polymorphism negative"
"BiomarkerKG719702881","SERPINC1","ENSG00000117601","polymorphism","negative","SERPINC1 polymorphism negative"
"BiomarkerKG719702881","CYP2C9","ENSG00000138109","polymorphism","negative","CYP2C9 polymorphism negative"
"BiomarkerKG-1188758294","CD274","ENSG00000120217","protein expression",NA,"CD274 protein expression NA"
"BiomarkerKG1048595055","TPMT","ENSG00000137364","polymorphism","negative","TPMT polymorphism negative"
"BiomarkerKG1048595055","NUDT15","ENSG00000136159","polymorphism","negative","NUDT15 polymorphism negative"
"BiomarkerKG2059480590","UGT1A1","ENSG00000241635","polymorphism",NA,"UGT1A1 polymorphism NA"
"BiomarkerKG736314554","BRAF","ENSG00000157764","mutation",NA,"BRAF mutation NA"
"BiomarkerKG-378943012","IFNL3","ENSG00000197110","protein expression",NA,"IFNL3 protein expression NA"
"BiomarkerKG-771556728","ALK","ENSG00000171094","mutation",NA,"ALK mutation NA"
"BiomarkerKG1173989673","TNFRSF8","ENSG00000120949","protein expression",NA,"TNFRSF8 protein expression NA"
"BiomarkerKG829815143","CYP2D6","ENSG00000100197","polymorphism",NA,"CYP2D6 polymorphism NA"
"BiomarkerKG1437695799","ALK","ENSG00000171094","mutation",NA,"ALK mutation NA"
"BiomarkerKG282615554","CYP2C19","ENSG00000165841","polymorphism",NA,"CYP2C19 polymorphism NA"
"BiomarkerKG816316872","RET","ENSG00000165731","genetic others",NA,"RET genetic others NA"
"BiomarkerKG1533469514","DPYD","ENSG00000188641","mutation",NA,"DPYD mutation NA"
"BiomarkerKG205847830","HLA-B","ENSG00000234745","polymorphism","negative","HLA-B polymorphism negative"
"BiomarkerKG205847830","HLA-A","ENSG00000206503","polymorphism","negative","HLA-A polymorphism negative"
"BiomarkerKG541509081","NAGS","ENSG00000161653","protein expression",NA,"NAGS protein expression NA"
"BiomarkerKG1069940068","CYP2D6","ENSG00000100197","polymorphism",NA,"CYP2D6 polymorphism NA"
"BiomarkerKG1900108140","CYP2C19","ENSG00000165841","polymorphism",NA,"CYP2C19 polymorphism NA"
"BiomarkerKG-1557071629","CYP2D6","ENSG00000100197","polymorphism",NA,"CYP2D6 polymorphism NA"
"BiomarkerKG900270885","CYP2C9","ENSG00000138109","polymorphism",NA,"CYP2C9 polymorphism NA"
"BiomarkerKG570155103","G6PD","ENSG00000160211","polymorphism",NA,"G6PD polymorphism NA"
"BiomarkerKG-413895656","ALK","ENSG00000171094","mutation",NA,"ALK mutation NA"
"BiomarkerKG-2121880163","TPP1","ENSG00000166340","mutation",NA,"TPP1 mutation NA"
"BiomarkerKG1928793512","RAS","ENSG00000133703","mutation",NA,"RAS mutation NA"
"BiomarkerKG1667727299","HBB","ENSG00000244734","mutation",NA,"HBB mutation NA"
"BiomarkerKG-1839732767","ROS1","ENSG00000047936","gene fusion",NA,"ROS1 gene fusion NA"
"BiomarkerKG-1229781644","RAS","ENSG00000133703","mutation",NA,"RAS mutation NA"
"BiomarkerKG-210842937","IL2RA","ENSG00000134460","protein expression",NA,"IL2RA protein expression NA"
"BiomarkerKG779147928","CYP2B6","ENSG00000197408","polymorphism",NA,"CYP2B6 polymorphism NA"
"BiomarkerKG-1440571084","SLCO1B1","ENSG00000134538","protein expression",NA,"SLCO1B1 protein expression NA"
"BiomarkerKG-1362059301","IDH2","ENSG00000182054","mutation",NA,"IDH2 mutation NA"
"BiomarkerKG-1738472582","NECTIN4","ENSG00000143217","protein expression",NA,"NECTIN4 protein expression NA"
"BiomarkerKG-622383070","NTRK","ENSG00000165300","gene fusion",NA,"NTRK gene fusion NA"
"BiomarkerKG-239734061","FGFR","ENSG00000068078","mutation & gene fusion",NA,"FGFR mutation & gene fusion NA"
"BiomarkerKG-1869766997","CYP2C19","ENSG00000165841","polymorphism",NA,"CYP2C19 polymorphism NA"
"BiomarkerKG-978387120","SERPINC1","ENSG00000117601","protein overexpression",NA,"SERPINC1 protein overexpression NA"
"BiomarkerKG-998821726","DMD","ENSG00000198947","mutation",NA,"DMD mutation NA"
"BiomarkerKG363506879","DPYD","ENSG00000188641","mutation",NA,"DPYD mutation NA"
"BiomarkerKG-23249570","FLT3","ENSG00000122025","mutation",NA,"FLT3 mutation NA"
"BiomarkerKG1859447834","KIT","ENSG00000157404","mutation","negative","KIT mutation negative"
"BiomarkerKG1859447834","FIP1L1-PDGFRA","ENSG00000282278","gene fusion","positive","FIP1L1-PDGFRA gene fusion positive"
"BiomarkerKG1151651722","PDGFRB","ENSG00000113721","translocation",NA,"PDGFRB translocation NA"
"BiomarkerKG-1147713356","FIP1L1-PDGFRA","ENSG00000282278","gene fusion",NA,"FIP1L1-PDGFRA gene fusion NA"
"BiomarkerKG166414512","UGT1A1","ENSG00000241635","polymorphism",NA,"UGT1A1 polymorphism NA"
"BiomarkerKG-539500812","TTR","ENSG00000118271","protein expression",NA,"TTR protein expression NA"
"BiomarkerKG-848100356","HLA-A","ENSG00000206503","polymorphism",NA,"HLA-A polymorphism NA"
"BiomarkerKG1476229835","CYB5R","ENSG00000100243","protein expression",NA,"CYB5R protein expression NA"
"BiomarkerKG637500005","IDH1","ENSG00000138413","mutation","positive","IDH1 mutation positive"
"BiomarkerKG-726641820","HLA-DQA1","ENSG00000196735","polymorphism","positive","HLA-DQA1 polymorphism positive"
"BiomarkerKG496745715","HLA-DRB1","ENSG00000196126","polymorphism","positive","HLA-DRB1 polymorphism positive"
"BiomarkerKG453634129","NTRK","ENSG00000165300","gene fusion","positive","NTRK gene fusion positive"
"BiomarkerKG679917283","NPM1","ENSG00000181163","mutation","positive","NPM1 mutation positive"
"BiomarkerKG-49333377","KIT","ENSG00000157404","mutation","positive","KIT mutation positive"
"BiomarkerKG1030127933","GLA","ENSG00000242252","mutation","positive","GLA mutation positive"
"BiomarkerKG-280478680","BCHE","ENSG00000114200","polymorphism","positive","BCHE polymorphism positive"
"BiomarkerKG2104942858","HPRT1","ENSG00000165704","protein expression","positive","HPRT1 protein expression positive"
"BiomarkerKG-1086936591","SMN2","ENSG00000205571","protein expression","positive","SMN2 protein expression positive"
"BiomarkerKG-558455940","MS4A1","ENSG00000156738","protein expression","positive","MS4A1 protein expression positive"
"BiomarkerKG489011798","BRCA","ENSG00000012048","mutation","positive","BRCA mutation positive"
"BiomarkerKG1388758583","PDGFRA","ENSG00000134853","protein silencing","positive","PDGFRA protein silencing positive"
"BiomarkerKG1323391694","CASR","ENSG00000036828","mutation","positive","CASR mutation positive"
"BiomarkerKG794218917","IFNL3","ENSG00000197110","protein expression","positive","IFNL3 protein expression positive"
"BiomarkerKG-1790679122","CYP3A5","ENSG00000106258","protein expression","positive","CYP3A5 protein expression positive"
"BiomarkerKG149207443","CYP1A2","ENSG00000140505","protein expression","positive","CYP1A2 protein expression positive"
"BiomarkerKG-1053117702","IL12A","ENSG00000168811","mutation","positive","IL12A mutation positive"
"BiomarkerKG-1053117702","IL12B","ENSG00000113302","mutation","positive","IL12B mutation positive"
"BiomarkerKG-1053117702","IL23A","ENSG00000110944","mutation","positive","IL23A mutation positive"
"BiomarkerKG1944943287","POLG","ENSG00000140521","mutation","positive","POLG mutation positive"
"BiomarkerKG1127858044","TP53","ENSG00000141510","mutation","positive","TP53 mutation positive"
"BiomarkerKG-1962047831","IGH","ENSG00000116017","translocation","positive","IGH translocation positive"
"BiomarkerKG-357946721","VKORC1","ENSG00000167397","polymorphism","positive","VKORC1 polymorphism positive"
"BiomarkerKG2028368899","PROS1","ENSG00000184500","mutation","positive","PROS1 mutation positive"
"BiomarkerKG313586149","PROC","ENSG00000115718","mutation","positive","PROC mutation positive"
"BiomarkerKG-2104469395","ASS1","ENSG00000130707","mutation","positive","ASS1 mutation positive"
"BiomarkerKG-2104469395","CPS1","ENSG00000021826","mutation","positive","CPS1 mutation positive"
"BiomarkerKG-2104469395","OTC","ENSG00000036473","mutation","positive","OTC mutation positive"
"BiomarkerKG1514699161","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1514699161","PGR","ENSG00000082175","Protein expression","Negative","PGR Protein expression Negative"
"BiomarkerKG1514699161","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1435553749","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1435553749","PGR","ENSG00000082175","Protein expression","Negative","PGR Protein expression Negative"
"BiomarkerKG-1435553749","ERBB2","ENSG00000141736","Protein Expression & amplification","Negative","ERBB2 Protein Expression & amplification Negative"
"BiomarkerKG-1899271805","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1899271805","PGR","ENSG00000082175","Protein expression","Positive","PGR Protein expression Positive"
"BiomarkerKG-1899271805","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG809776760","ERBB2","ENSG00000141736","Protein Expression & Amplification","Positive","ERBB2 Protein Expression & Amplification Positive"
"BiomarkerKG-1915782920","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-156769428","ERBB2","ENSG00000141736","Protein Expression & Amplification/Protein Expression","Positive","ERBB2 Protein Expression & Amplification/Protein Expression Positive"
"BiomarkerKG-156769428","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-156769428","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1013990068","ERBB2","ENSG00000141736","Protein Expression & Amplification/Protein Expression","Positive","ERBB2 Protein Expression & Amplification/Protein Expression Positive"
"BiomarkerKG-1013990068","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-1013990068","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-447481596","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-447481596","PGR","ENSG00000082175","Protein expression","Positive","PGR Protein expression Positive"
"BiomarkerKG-447481596","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-447481596","Ki67","ENSG00000148773","Protein expression","Positive","Ki67 Protein expression Positive"
"BiomarkerKG-859329038","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-859329038","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG687053448","ERBB2","ENSG00000141736","Protein Expression & Amplification","Positive","ERBB2 Protein Expression & Amplification Positive"
"BiomarkerKG-889764113","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-889764113","ERBB2","ENSG00000141736","Protein expression","Negative","ERBB2 Protein expression Negative"
"BiomarkerKG-889764113","Ki67","ENSG00000148773","Protein Expression","Positive","Ki67 Protein Expression Positive"
"BiomarkerKG-103720969","ERBB2","ENSG00000141736","Protein Expression &Amplification/Protein Expression","Positive","ERBB2 Protein Expression &Amplification/Protein Expression Positive"
"BiomarkerKG-1504794440","ERBB2","ENSG00000141736","Protein Expression","Positive","ERBB2 Protein Expression Positive"
"BiomarkerKG1827935371","ERBB2","ENSG00000141736","Protein Expression & Amplification/Protein Expression","Positive","ERBB2 Protein Expression & Amplification/Protein Expression Positive"
"BiomarkerKG1827935371","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG1827935371","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG1686449390","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1686449390","ESR1","ENSG00000091831","Protein expression","Positive/Negative","ESR1 Protein expression Positive/Negative"
"BiomarkerKG1686449390","PGR","ENSG00000082175","Protein Expression","Positive/Negative","PGR Protein Expression Positive/Negative"
"BiomarkerKG-435072881","ERBB2","ENSG00000141736","Protein Expression","Positive","ERBB2 Protein Expression Positive"
"BiomarkerKG1596444665","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1596444665","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-316459000","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-316459000","ESR1","ENSG00000091831","Protein expression","Positive","ESR1 Protein expression Positive"
"BiomarkerKG-316459000","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG1503939067","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-2032842044","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-2032842044","Bcl2","ENSG00000171791","Protein expression","Positive","Bcl2 Protein expression Positive"
"BiomarkerKG-2032842044","ERBB2","ENSG00000141736","Protein Expression","Positive","ERBB2 Protein Expression Positive"
